Luc�a Molina; 01234561 ; [5.6, 8.0, 9.0, 9.5, 10.0, 9.5]; 8.6 ; Aprobado
Manuel Avila; 90123452 ; [6.8, 7.0, 6.9, 7.5, 7.0, 7.2]; 7.07 ; Aprobado
Natalia Rios; 89012343 ; [8.2, 7.8, 8.5, 8.6, 9.0, 9.2]; 8.55 ; Aprobado
Hugo Ortega; 78901234 ; [7.5, 7.9, 7.7, 8.0, 7.8, 8.2]; 7.85 ; Aprobado
Valentina Navarro; 67890125 ; [9.3, 9.5, 9.0, 9.4, 9.0, 8.8]; 9.17 ; Aprobado
Simon Vargas; 56789016 ; [6.5, 6.0, 7.0, 4.5, 3.9, 5.0]; 5.48 ; Desaprobado
Marta Garcia; 45678907 ; [8.4, 8.0, 8.3, 8.6, 5.0, 4.0]; 7.05 ; Aprobado
Andres Silva; 12345098 ; [7.8, 4.5, 5.0, 7.5, 7.0, 6.5]; 6.38 ; Aprobado
Carmen Hernandez; 89012345 ; [6.0, 8.0, 7.7, 6.5, 7.3, 6.2]; 6.95 ; Aprobado
Alejandro Torres; 78901234 ; [7.7, 8.4, 8.6, 7.9, 8.1, 8.3]; 8.17 ; Aprobado
Laura Merelo; 67890123 ; [9.1, 9.3, 8.8, 9.5, 9.2, 8.7]; 9.1 ; Aprobado
Oscar Paez; 23647354 ; [4.5, 6.3, 4.9, 7.5, 7.6, 8.5]; 6.55 ; Aprobado
Fernanda Morales; 58495064 ; [5.6, 7.4, 6.8, 6.5, 7.0, 7.6]; 6.82 ; Aprobado
